bigg_id	KEGG	SEED
ACGS	R00259	
ACODA	R00669	
ACOTA	R02283	
AGMT	R01157	
ARGDC	R00566	
ARGDCpp	R00566	
ARGSS	R01954	
AST	R00832	
CBMKr	R00150	
GGGABAH	R07419	
GLNS	R00253	
GLUNpp	R00256	
ORNDC	R00670	
P5CD	R00707	
P5CR	R01251	
SADH	R04189	
SOTA	R04217	
SPMS	R01920	
AABTN	R01987	
AGPRim	R03443	
ALPHNH	R00005	
ARGN	R00551	
G5SADrm	R03314	rxn02374
GLUDxi	R00243	
HPROa	R03291	
HPROb	R03293	
ORNTA	R00667	
PHCHGSm	R04443	
POLYAO3	R09076	
PRO1xm	R01248	
UREASE	R00774	
ORNTAC	R02282	
GDBTALDH	R03177	
GUDBUTNAH	R01990	
PHCHGS	R04443	
4ABUTD	R01986	
AGMTm	R01157	
ARGNm	R00551	
GLU5Km	R00239	
NABTNOm	R05050	
OCBTm	R01398	
ORNTArm	R00667	
P5CRxm	R01248	
PROAKGOX1r	R01252	
PTRCAT1	R01154	
PTRCOX1	R01151	
GDH1	R00243	
ARGDI	R00552	
OCTh	R01398	
OCTm	R01398	
GAM	R00256	
GDHm	R00243	
GALh	R00253	
GALm	R00253	
GDH	R00243	
GDH_nadp	R00248	
APAPTm	R01920	
PROAKGOX1	R01252	
ABOR	R01986	
PTOR	R01151	
ALPHm	R00005	
URCB	R00774	
ACODA_1	R00669	
ARGKr	R00554	
ARGN_1	R00551	
ORNTA_1	R00667	
ORNTAC_1	R02282	
GLUDym	R00248	
r0074	R00245	
r0466	R01992	
ABUTD	R02549	
ACGK	R02649	
ADMDC	R00178	
AGPR	R03443	
ARGSL	R01086	
G5SADs	R03314	rxn02374
G5SD	R03313	
GGGABADr	R07418	
GLU5K	R00239	
GLUDy	R00248	
GLUN	R00256	
OCBT	R01398	
PROD2	R10507	
PTRCTA	R01155	rxn00856
SGDS	R00411	
SGSAD	R05049	
ABUTDm	R02549	
ACGKm	R02649	
ACGSm	R00259	
ACOTAim	R02283	
AMID	R03180	
APRTO2	R04025	
HPROxm	R03291	
HPROym	R03293	
NABTNO	R05050	
ORNTACim	R02282	
P5CDm	R00707	
SPRMS	R02869	
ARGDr	R00552	
NOPD	R00563	
ORNCD	R00671	
UREA	R00131	
ARUH	R08197	rxn11731
OARGDC	R03178	rxn02274
HPROx	R03291	
PUTA3	R00245	
P5CRx	R01248	
AGMDA	R01416	
PRO1y	R01251	
ARGDCm	R00566	
G5SDym	R03313	
GLUNm	R00256	
P5CRm	R01251	
PRO1x	R01248	
PROD2m	R10507	
AABHH	R01992	
G5DHx	R03313	
ARGSS_1	R01954	
OCT	R01398	
ASAPT	R02869	
CPS	R00149	
URCBm	R00774	
AGDI	R01416	
AGDIn	R01416	
CMPA	R01152	
ORDCh	R00670	
OCBT_1	R01398	
r0281	R01151	
