id	ec_numbers	KEGG
rxn00735	1.1.1.85	R00994
rxn00737	4.3.1.19	R00996
rxn00804	1.4.1.9	R01088
rxn00806	2.6.1.42|2.6.1.6|2.6.1.67	R01090
rxn00902	2.3.3.13|4.1.3.12	R01213
rxn00903	2.6.1.42|2.6.1.6	R01214
rxn00904	2.6.1.66	R01215
rxn01045	1.4.1.-|1.4.1.23|1.4.1.9	R01434
rxn01208		R01652
rxn01573	1.4.1.9	R02196
rxn01575	2.6.1.42	R02199
rxn02749	4.2.1.35	R03896
rxn02751		R03898
rxn02789	4.2.1.33	R03968
rxn02811	4.2.1.33	R04001
rxn03062	1.1.1.85	R04426
rxn03068	1.1.1.86	R04440
rxn03435	1.1.1.86	R05068
rxn03436	1.1.1.86|5.4.99.3	R05069
rxn03437	4.2.1.9	R05070
rxn05109	2.3.1.182	R07399
rxn08043	2.2.1.6	R08648
rxn15021	2.2.1.6|4.1.3.18	R00226
rxn15467	4.2.1.9	R04441
rxn15511	1.1.1.86|5.4.99.3	R05071
rxn19030	2.2.1.6	R08648
rxn19240	2.6.1.42	R02199
rxn19241	2.6.1.42|2.6.1.6|2.6.1.67	R01090
rxn19242	2.6.1.42|2.6.1.6	R01214
rxn19545	4.2.1.9	R05070
rxn27497	2.3.3.13|4.1.3.12	R01213
rxn27542	1.1.1.85	R04426
rxn27543	4.2.1.33	R03968
rxn27664	2.2.1.6|4.1.3.18	R00226
rxn27667	2.2.1.6	R08648
rxn27737	2.6.1.42	R02199
rxn27738	2.6.1.42|2.6.1.6|2.6.1.67	R01090
rxn27739	2.6.1.42|2.6.1.6	R01214
rxn27818	4.2.1.9	R05070
rxn29011	4.3.1.19	R00996
rxn29946	2.6.1.66	R01215
rxn30064	4.3.1.19	R00996
rxn30143	4.3.1.19	R00996
rxn30145	4.2.1.9	R05070
rxn30151	2.3.3.13|4.1.3.12	R01213
rxn30333	2.2.1.6	R08648
rxn30334	2.2.1.6|4.1.3.18	R00226
rxn30367	4.2.1.9	R04441
rxn30417		R01652
rxn30440	4.3.1.19	R00996
rxn30549	1.4.1.9	R02196
rxn30550	1.4.1.9	R01088
rxn30554	1.4.1.-|1.4.1.23|1.4.1.9	R01434
rxn30658	4.2.1.9	R05070
rxn31757	1.1.1.86	R04440
rxn31760	1.1.1.86	R04440
rxn31783	1.1.1.86	R04440
rxn31980	1.1.1.86	R05068
rxn31981	1.1.1.86	R05068
rxn31982	1.1.1.86	R05068
rxn31994	2.3.1.182	R07399
rxn32091	1.1.1.85	R00994
rxn32196	4.2.1.35	R03896
rxn32411	1.1.1.86|5.4.99.3	R05071
rxn32500	1.1.1.86|5.4.99.3	R05071
rxn32760	1.1.1.86|5.4.99.3	R05069
rxn32797	1.1.1.86|5.4.99.3	R05069
rxn32798	1.1.1.86|5.4.99.3	R05069
rxn33015	4.2.1.33	R04001
rxn33387		R03898
rxn33725		R01652
rxn35527	4.2.1.9	R04441
rxn35528	4.2.1.9	R05070
rxn35529	1.1.1.86|5.4.99.3	R05069
rxn35530		R04440
rxn35531	1.1.1.86	R05068
rxn35533	4.3.1.19	R00996
rxn37956	1.1.1.85	R04426
rxn38053	2.6.1.42	R02199
rxn38054	2.6.1.42|2.6.1.6|2.6.1.67	R01090
rxn38055	2.6.1.42|2.6.1.6	R01214
