kegg	mnx_id	bigg	seed	metacyc	description	ambiguous
C00002	MNXM3	atp	cpd00002	ATP	ATP||Adenosine 5'-triphosphate	
C00003	MNXM8	nad	cpd00003	NAD	NAD||DPN||Diphosphopyridine nucleotide||NAD||Nadide||Nicotinamide adenine dinucleotide||beta-NAD+	
C00004	MNXM10	nadh	cpd00004	NADH	NADH||DPNH||Reduced nicotinamide adenine dinucleotide	
C00005	MNXM738702	nadph	cpd00005	NADPH	NADPH||Reduced nicotinamide adenine dinucleotide phosphate||TPNH	
C00006	MNXM5	nadp	cpd00006	NADP	NADP||NADP||Nicotinamide adenine dinucleotide phosphate||TPN||Triphosphopyridine nucleotide||beta-NADP+||beta-Nicotinamide adenine dinucleotide phosphate	
C00007	MNXM735438	o2	cpd00007	OXYGEN-MOLECULE	Oxygen||O2	
C00008	MNXM40333	adp	cpd00008|cpd22244	ADP|ADP-GROUP	ADP||Adenosine 5'-diphosphate	seed(2),metacyc(2)
C00010	MNXM727276	coa	cpd00010	CO-A|COA-GROUP	CoA||CoA-SH||Coenzyme A	metacyc(2)
C00011	MNXM13	co2	cpd00011	CARBON-DIOXIDE	CO2||Carbon dioxide	
C00012	MNXM729064				Peptide	
C00013	MNXM11	ppi	cpd00012|cpd27828	PPI|PYROPHOSPHATE-GROUP	Diphosphate||Diphosphoric acid||PPi||Pyrophosphate||Pyrophosphoric acid	seed(2),metacyc(2)
C00014	MNXM729302	nh3|nh4	cpd00013|cpd19013	AMMONIA|AMMONIUM	Ammonia||NH3	kegg(2),bigg(2),seed(2),metacyc(2)
C00015	MNXM1102128	udp	cpd00014	UDP|UDP-GROUP	UDP||Uridine 5'-diphosphate	metacyc(2)
C00016	MNXM1364149	fad	cpd00015	FAD	FAD||Flavin adenine dinucleotide	
C00017	MNXM733321				Protein	
C00018	MNXM161	pydx5p	cpd00016	PYRIDOXAL_PHOSPHATE	Pyridoxal phosphate||PLP||Pyridoxal 5'-phosphate||Pyridoxal 5-phosphate	
C00019	MNXM1363767	amet	cpd00017	S-ADENOSYLMETHIONINE	S-Adenosyl-L-methionine||AdoMet||S-Adenosylmethionine||SAM	
C00020	MNXM728294	amp	cpd00018	AMP|AMP-GROUP	AMP||5'-AMP||5'-Adenosine monophosphate||5'-Adenylic acid||Adenosine 5'-monophosphate||Adenosine 5'-phosphate||Adenylate||Adenylic acid	metacyc(2)
C00021	MNXM1102167	ahcys	cpd00019	ADENOSYL-HOMO-CYS	S-Adenosyl-L-homocysteine||S-Adenosylhomocysteine	
C00022	MNXM23	pyr	cpd00020	PYRUVATE	Pyruvate||2-Oxopropanoate||2-Oxopropanoic acid||Pyroracemic acid||Pyruvic acid	
C00023	MNXM726710		cpd00021		Iron	
C00024	MNXM1104266	accoa	cpd00022	ACETYL-COA	Acetyl-CoA||Acetyl coenzyme A	
C00025	MNXM741173	glu__L	cpd00023	GLT	L-Glutamate||Glutamate||L-Glutamic acid||L-Glutaminic acid	
C00026	MNXM1368744	akg	cpd00024|cpd32228	2-KETOGLUTARATE	2-Oxoglutarate||2-Ketoglutaric acid||Oxoglutaric acid||alpha-Ketoglutaric acid	seed(2)
C00027	MNXM732620	h2o2	cpd00025	HYDROGEN-PEROXIDE	Hydrogen peroxide||H2O2||Oxydol	
C00029	MNXM1364019	udpg	cpd00026|cpd28293	CPD-12575	UDP-glucose||UDP-D-glucose||UDP-alpha-D-glucose||UDPglucose||Uridine diphosphate glucose	seed(2)
C00030	MNXM1102419				Reduced acceptor||AH2||Donor||Hydrogen-donor	
C00031	MNXM1364061	glc__D	cpd00027	Glucopyranose|Hederagenin-Monoglucosides|Soyasapogenol-B-Monoglucosides|Soyasapogenol-E-Monoglucosides	D-Glucose||D-Glucopyranose||Dextrose||Glucose||Grape sugar	metacyc(4)
C00032	MNXM249	pheme		PROTOHEME	Heme||Haem||Heme B||Protoheme||Protoheme IX	
C00033	MNXM26	ac	cpd00029	ACET|CPD-24335	Acetate||Acetic acid||Ethanoic acid	metacyc(2)
C00034	MNXM1932		cpd37272		Manganese	
C00035	MNXM1103285	gdp	cpd00031	GDP|GDP-GROUP	GDP||Guanosine 5'-diphosphate||Guanosine diphosphate	metacyc(2)
C00036	MNXM46	oaa	cpd00032	OXALACETIC_ACID	Oxaloacetate||2-Oxobutanedioic acid||2-Oxosuccinic acid||Oxalacetic acid||Oxaloacetic acid||keto-Oxaloacetate	
C00037	MNXM29	gly	cpd00033	GLY|Phosphorylated-Amino-Acids	Glycine||Aminoacetic acid||Gly	metacyc(2)
C00038	MNXM729215	HC02172|zn2	cpd00034	ZN+2	Zinc cation||Zinc ion||Zn(II)||Zn2+	bigg(2)
C00039	MNXM634	dna	cpd11461	DNA-Holder	DNA||(Deoxyribonucleotide)m||(Deoxyribonucleotide)n||(Deoxyribonucleotide)n+m||DNAn||DNAn+1||Deoxyribonucleic acid	
C00040	MNXM729259				Acyl-CoA||Acyl coenzyme A	
C00041	MNXM1105732	ala__L	cpd00035	L-ALPHA-ALANINE	L-Alanine||L-2-Aminopropionic acid||L-alpha-Alanine	
C00042	MNXM25	succ	cpd00036	SUC	Succinate||Butanedionic acid||Ethylenesuccinic acid||Succinic acid	
C00043	MNXM1104529	uacgam	cpd00037	UDP-N-ACETYL-D-GLUCOSAMINE	UDP-N-acetyl-alpha-D-glucosamine||UDP-N-acetyl-D-glucosamine||UDP-N-acetylglucosamine	
C00044	MNXM1103553	gtp	cpd00038	GTP	GTP||Guanosine 5'-triphosphate	
C00045	MNXM735845				Amino acid||Amino acids	
C00047	MNXM1364268	lys__L	cpd00039|cpd19182	LYS	L-Lysine||2,6-Diaminohexanoic acid||Lysine acid	kegg(2),seed(2)
C00048	MNXM69	glx	cpd00040	GLYOX	Glyoxylate||Glyoxalate||Glyoxylic acid	
C00049	MNXM1364497	asp__L	cpd00041	L-ASPARTATE	L-Aspartate||2-Aminosuccinic acid||L-Asp||L-Aspartic acid	
C00050	MNXM61531		cpd11614		Metal	
C00051	MNXM490899	gthrd	cpd00042	GLUTATHIONE|GSH-Group	Glutathione||5-L-Glutamyl-L-cysteinylglycine||GSH||N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine||Reduced glutathione||gamma-L-Glutamyl-L-cysteinyl-glycine	metacyc(2)
C00052	MNXM1104754	udpgal	cpd00043|cpd30770	CPD-14553	UDP-alpha-D-galactose||UDP-D-galactopyranose||UDP-D-galactose||UDP-alpha-D-galactopyranose||UDP-galactose	seed(2)
C00053	MNXM1104555	paps	cpd00044	PAPS	3'-Phosphoadenylyl sulfate||3'-Phospho-5'-adenylyl sulfate||3'-Phosphoadenosine 5'-phosphosulfate||PAPS	
C00054	MNXM1103458	pap	cpd00045	3-5-ADP	Adenosine 3',5'-bisphosphate||3'-Phosphoadenylate||PAP||Phosphoadenosine phosphate	
C00055	MNXM1103302	cmp	cpd00046	CMP|CMP-GROUP	CMP||Cytidine-5'-monophosphate||Cytidylic acid	metacyc(2)
C00058	MNXM39	for	cpd00047|cpd22511	CARBOXYL-GROUP|CPD1G-1532|CPD1G-1533|CPD1G-1534|CPD1G-1535|FORMATE	Formate||Formic acid||Methanoic acid	seed(2),metacyc(6)
